N,Site,Cham,Sample,Window,Nest,YY,MM,DD,Time,BaitTemp1,BaitTemp2,BaitTemp3,BaitTemp4,Notes,,
,,6,B,C,,2014,9,11,1:13,28.6,28.4,28.4,NA,,,
,,6,C,D,,2014,9,11,1:18,28.4,28.6,28,NA,,,
,,7,A,A,,2014,9,11,1:50,31.8,32.4,31.6,NA,,,
,,7,B,B,,2014,9,11,1:54,31,31.2,29.6,NA,,,
,,7,C,C,,2014,9,11,1:59,30.2,30,29.8,NA,,,
,,8,A,C,,2014,9,11,2:06,32,32.4,31.8,NA,,,
,,8,B,A,,2014,9,11,2:12,32.8,32.4,33,NA,,,
,,8,C,D,,2014,9,11,2:19,32.2,32.4,32.4,NA,"Not on bait, on nest",,
,,9,A,D,,2014,9,11,3:01,30.8,31.4,32.2,NA,"In leaf litter, no on bait",,
,,9,B,C,,2014,9,11,3:07,39.4,29,30.2,NA,,,
,,9,C,B,,2014,9,11,3:13,32.6,31.8,30.8,NA,,,
,,1,A,D,,2014,9,11,3:19,29.8,29.8,29.6,NA,,,
,,1,B,C,,2014,9,11,3:22,29.2,29.6,29.4,NA,,,
,,1,C,B,,2014,9,11,3:26,29.2,29.4,29.8,NA,,,
,,13,A,B,,2014,9,11,3:57,28.6,27,28.2,NA,,,
,,13,B,C,,2014,9,11,4:02,28.4,28.6,28.8,NA,,,
,,13,C,D,,2014,9,11,4:10,28.4,28.6,28.8,NA,,,
